2023-10-08 09:49:26,829 [INFO] core.trainer: {'data_root': '/home/bzx_yjy/FS/miniImageNet--ravi', 'image_size': 84, 'use_memory': False, 'augment': True, 'augment_times': 1, 'augment_times_query': 1, 'workers': 8, 'dataloader_num': 1, 'device_ids': '0,1', 'n_gpu': 2, 'seed': 2147483647, 'deterministic': True, 'port': 43317, 'log_name': None, 'log_level': 'info', 'log_interval': 100, 'log_paramerter': False, 'result_root': './results', 'save_interval': 10, 'save_part': ['emb_func'], 'tag': None, 'epoch': 50, 'test_epoch': 5, 'parallel_part': ['emb_func'], 'pretrain_path': None, 'resume': False, 'way_num': 5, 'shot_num': 1, 'query_num': 15, 'test_way': 5, 'test_shot': 1, 'test_query': 15, 'episode_size': 2, 'train_episode': 10000, 'test_episode': 1000, 'batch_size': 128, 'val_per_epoch': 1, 'optimizer': {'name': 'SGD', 'kwargs': {'lr': 0.01}, 'other': None}, 'lr_scheduler': {'name': 'StepLR', 'kwargs': {'gamma': 1.0, 'step_size': 20}}, 'warmup': 0, 'includes': ['headers/data.yaml', 'headers/device.yaml', 'headers/misc.yaml', 'headers/model.yaml', 'headers/optimizer.yaml', 'classifiers/Proto.yaml', 'backbones/resnet12.yaml'], 'backbone': {'name': 'Conv64F', 'kwargs': {'is_flatten': True, 'is_feature': False, 'leaky_relu': False, 'negative_slope': 0.2, 'last_pool': True}}, 'classifier': {'name': 'ProtoNet', 'kwargs': None}, 'tb_scale': 10.0, 'rank': 0}
2023-10-08 09:49:26,850 [INFO] core.trainer: ProtoNet(
  (emb_func): Conv64F(
    (layer1): Sequential(
      (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
      (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (layer2): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
      (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
    (layer3): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
    )
    (layer3_maxpool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (layer4): Sequential(
      (0): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
    )
    (layer4_pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (proto_layer): ProtoLayer()
  (loss_func): CrossEntropyLoss()
)
2023-10-08 09:49:26,863 [INFO] core.trainer: Trainable params in the model: 113088
2023-10-08 09:49:26,913 [INFO] core.trainer: load 38400 train image with 64 label.
2023-10-08 09:49:37,942 [INFO] core.trainer: load 9600 val image with 16 label.
2023-10-08 09:49:48,295 [INFO] core.trainer: load 12000 test image with 20 label.
2023-10-08 09:49:58,549 [INFO] core.trainer: SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.01
    lr: 0.01
    maximize: False
    momentum: 0
    nesterov: False
    weight_decay: 0
)
2023-10-08 09:49:58,553 [INFO] core.trainer: ============ Train on the train set ============
2023-10-08 09:49:58,554 [INFO] core.trainer: learning rate: [0.01]
2023-10-08 09:50:10,036 [INFO] core.trainer: Epoch-(0): [100/10000]	Time 0.073 (0.229)	Calc 0.049 (0.173)	Data 0.003 (0.044)	Loss 1.563 (23.543)	Acc@1 32.000 (23.720)
2023-10-08 09:50:16,020 [INFO] core.trainer: Epoch-(0): [200/10000]	Time 0.077 (0.174)	Calc 0.045 (0.110)	Data 0.001 (0.052)	Loss 1.563 (12.580)	Acc@1 24.667 (23.173)
2023-10-08 09:50:21,965 [INFO] core.trainer: Epoch-(0): [300/10000]	Time 0.120 (0.155)	Calc 0.061 (0.097)	Data 0.014 (0.047)	Loss 1.603 (8.922)	Acc@1 25.333 (23.027)
2023-10-08 09:50:27,934 [INFO] core.trainer: Epoch-(0): [400/10000]	Time 0.226 (0.146)	Calc 0.192 (0.086)	Data 0.016 (0.048)	Loss 1.633 (7.093)	Acc@1 24.000 (23.140)
2023-10-08 09:50:33,760 [INFO] core.trainer: Epoch-(0): [500/10000]	Time 0.294 (0.140)	Calc 0.039 (0.078)	Data 0.242 (0.050)	Loss 1.595 (5.994)	Acc@1 20.667 (23.219)
2023-10-08 09:50:39,489 [INFO] core.trainer: Epoch-(0): [600/10000]	Time 0.070 (0.136)	Calc 0.053 (0.078)	Data 0.003 (0.046)	Loss 1.634 (5.263)	Acc@1 26.000 (23.258)
2023-10-08 09:50:44,631 [INFO] core.trainer: Epoch-(0): [700/10000]	Time 0.179 (0.131)	Calc 0.162 (0.079)	Data 0.001 (0.040)	Loss 1.601 (4.740)	Acc@1 25.333 (23.335)
2023-10-08 09:50:51,297 [INFO] core.trainer: Epoch-(0): [800/10000]	Time 0.080 (0.131)	Calc 0.062 (0.081)	Data 0.001 (0.039)	Loss 1.609 (4.348)	Acc@1 19.333 (23.520)
2023-10-08 09:50:55,929 [INFO] core.trainer: Epoch-(0): [900/10000]	Time 0.179 (0.127)	Calc 0.174 (0.081)	Data 0.001 (0.035)	Loss 1.636 (4.042)	Acc@1 21.333 (23.526)
2023-10-08 09:51:01,475 [INFO] core.trainer: Epoch-(0): [1000/10000]	Time 0.040 (0.125)	Calc 0.026 (0.081)	Data 0.001 (0.033)	Loss 1.579 (3.798)	Acc@1 23.333 (23.523)
2023-10-08 09:51:07,995 [INFO] core.trainer: Epoch-(0): [1100/10000]	Time 0.240 (0.126)	Calc 0.234 (0.084)	Data 0.001 (0.030)	Loss 1.610 (3.598)	Acc@1 23.333 (23.577)
2023-10-08 09:51:13,599 [INFO] core.trainer: Epoch-(0): [1200/10000]	Time 0.020 (0.124)	Calc 0.013 (0.086)	Data 0.001 (0.028)	Loss 1.610 (3.432)	Acc@1 25.333 (23.500)
2023-10-08 09:51:19,075 [INFO] core.trainer: Epoch-(0): [1300/10000]	Time 0.060 (0.123)	Calc 0.045 (0.085)	Data 0.001 (0.028)	Loss 1.630 (3.291)	Acc@1 16.667 (23.564)
2023-10-08 09:51:24,635 [INFO] core.trainer: Epoch-(0): [1400/10000]	Time 0.349 (0.122)	Calc 0.333 (0.085)	Data 0.001 (0.027)	Loss 1.648 (3.170)	Acc@1 16.000 (23.582)
2023-10-08 09:51:30,358 [INFO] core.trainer: Epoch-(0): [1500/10000]	Time 0.065 (0.122)	Calc 0.054 (0.086)	Data 0.001 (0.025)	Loss 1.583 (3.065)	Acc@1 31.333 (23.671)
2023-10-08 09:51:35,207 [INFO] core.trainer: Epoch-(0): [1600/10000]	Time 0.027 (0.120)	Calc 0.023 (0.086)	Data 0.001 (0.024)	Loss 1.545 (2.974)	Acc@1 26.000 (23.755)
2023-10-08 09:51:41,205 [INFO] core.trainer: Epoch-(0): [1700/10000]	Time 0.160 (0.120)	Calc 0.130 (0.086)	Data 0.009 (0.023)	Loss 1.665 (2.893)	Acc@1 30.000 (23.805)
2023-10-08 09:51:46,582 [INFO] core.trainer: Epoch-(0): [1800/10000]	Time 0.048 (0.119)	Calc 0.030 (0.084)	Data 0.004 (0.024)	Loss 1.537 (2.822)	Acc@1 22.667 (23.790)
